Barcode,Price
88379723965,24.78
88379850975,11.5
88379853334,245.06
120180010207,47.6
120195001016,9.95
120195001061,67.25
120203010252,55
601402121548,7.1
601402121791,12.75
601402123177,32.93
601402123184,34.78
601402123191,29.98
601402123238,29.6
601402123467,28.05
601402123481,31.95
601402125775,109.25
601402253249,30.54
601402262937,9.98
601402263385,10.08
601402264276,7.9
601402267581,26.98
601402268069,33.82
601402268076,28.18
601402268823,32.98
601402268892,29.98
601402516306,3.78
601402516313,8.95
601402719240,32.65
610377003957,908
610377033411,8.25
610377036979,28.1
610377037747,20.47
610377037761,25.2
610377039987,56.75
610377043991,280.08
610377045384,7.35
610377047609,5.9
610377056762,574.95
610377059824,30.68
610377123945,1140.85
610377126540,371.04
610377209281,54.75
610377209427,120
610377212373,8.98
610377230421,20.35
610377230599,45.8
610377230742,13.8
610377242622,30.35
610377244886,195.85
610377269469,625
610377279178,12.9
610377279352,107.56
610377279369,112
610377364898,106.49
610377434409,838.27
610377461979,295.8
610377472401,145.39
610377492225,116.25
610377548304,235
610377614351,21.14
610377614580,24.65
610377620796,34.08
610377744881,8.9
610377762106,3.44
616243070160,79.6
616243161240,47.9
642026043090,7.9
647336944099,29.32
660174101820,215
660174104470,85.68
660174104487,46.5
660174104678,155.94
660174108683,47
662817900265,13.5
676215012253,307.625
676215016671,17.95
676215016763,169.98
676215016770,16.9
676215016794,179.98
676215016923,16.9
676215016930,9.95
676215016961,19.6
676215017135,58.95
676215017142,82.95
676215017159,17.85
676215017203,28.95
678285170116,52.6
678285170659,78.95
678285170918,64.35
678285170949,105.95
678285170970,85.99
678285171199,50
678285171281,179.25
678285171298,236
678285171304,246
678285171328,262.95
678285180122,82.95
678285180139,124.75
678285180177,69.85
678285180184,93.8
678285180191,66.9
678285180320,98.75
678285180368,79.87
678285180375,129.65
678285180382,144.6
678285190046,55.9
678285190053,72.65
678285190060,80.9
678285190077,109.85
678285190084,129.85
678285190114,72.29
678285190282,70.95
678285190299,94.89
678285190336,51
678285190374,104.68
678285190381,143
678285190398,109.94
678285190602,95.7
682141798437,14.8365
686226806338,32.9
687695130733,7.6
713965404157,13.85
713965506011,6.9
717108031217,43.7
717108051215,36.2
717108076126,14.69
729360011142,38.7
729360033731,17.45
729360052060,11.45
730928003004,21.82
730928003691,18.98
734040050212,8.99
735421360296,7.44
738919065864,14.2
749319751370,7.2
749319752155,36.9
749319756337,2.2
749319757037,0
749319759161,18.2
749507987000,44.82
749507994466,51.6
756058754951,35
757706125109,59.25
758293033723,18.2
761418005833,23.5
761418005901,19.63
761418011650,1032
762935018191,32.42
777563630042,32.54
777563633449,50.43
777563633814,51.98
785336407142,13.1
786169222407,5.75
786169880010,17.99
786169880058,27.9
786169880072,5.18
786169880270,20.39
786169880553,13.95
786169880676,32.99
786169880690,19
786169880706,27
788379004217,63
788379004248,136.95
788379004446,78.45
788379006730,29.95
788379006778,6.2
788379006952,6.25
788379006983,6.99
788379011215,6.5
788379507558,980
788379649593,238.5
788379652227,23.1
788379658687,37.31
788379658809,81.3
788379670207,521.8
788379671440,137.98
788379671488,124.9
788379681906,89.68
788379682422,32.95
788379690519,14.98
788379699369,28.99
788379699475,3.4
788379699512,15.9
788379699529,1.4
788379699796,28.6
788379704230,47.69
788379712730,44.9
788379723750,499.5
788379723965,24.78
788379734909,112.2
788379735715,63.85
788379860417,464.38
788379860424,209.8
788379885564,12.45
788379911423,48
788379911874,36.43
793573852618,5.64
793573852625,4.2
793969684137,33.75
793969684144,34.7
806105065520,12.95
806105242358,508.65
806105242365,466
806105242372,369
806105242389,598
806105344861,25.98
806105365750,11
806105400604,98.7
807154140404,16.9
807318004542,10.46
810006180190,118
810032580360,104.25
810089640307,450
810151303482,66.83
840036000748,10.95
840036000755,17.98
840036000762,34.99
840036003923,26.9
840036004302,67.95
840036013298,10.85
849640000281,7.8
849640000366,8.25
849640006764,38.65
849640008256,9.98
849640008515,13.9
849640008522,14
849640008539,26.25
849640009819,9.43
849640010464,13.45
849640011232,4.9
849640012482,6.85
849640013793,16.08
849640017883,9.85
849640018033,6.51
849640020791,9.9
849640023365,28.9
849640070086,11
849640073056,18.01
849640074411,28.3
855931002117,39.85
857254004779,620
858892000451,95.9
860012731916,7.4
863624000401,150.6
877039002820,11.8
885531000121,9.8
892996002171,3.25
987765556556,35
278523318011,69.8
541373500265,26.95
661037700378,128
100332008410,40.76
100706121022,91.403
107495079853,36.74
815323005930,19.95
007273513002,36.74
010007200396,47.92
012181148815,12.25
02001,0
022315203853,15.5
022315206656,14.92
022315206816,19.89
022315206830,29.08
022315206915,85.17
022315304802,168.58
022315306264,11
25336126705,86
025336199907,9.12
025336305001,7.6
025337160104,7.86
025337310608,5.95
025528137489,1
031949488383,14.74
031949488505,14.74
031949489458,21.97
035186200739,18.95
035186202375,169.45
035186202498,17.95
035186202801,10.8
035186203518,19.97
038753310152,17.38
040011940186,27.9
041430073684,8.99
042601050404,29
042601060021,12.21
046878580404,6.4
050143010503,2.18
050273750254,102.76
052337021944,10.2
052337022323,26
052337022330,3.89
052337023771,98.6
052337025102,18.9
