,"Active Status","Type","Item","Description","Sales Tax Code","Account","COGS Account","Asset Account","Accumulated Depreciation","Purchase Description","Quantity On Hand","U/M","Cost","Preferred Vendor","Tax Agency","Price","Reorder Pt (Min)","MPN","MARK UP"
,"Active","Service","0100","*There will be a re-stocking fee for all special items returned*","Non","4100 · Other Income:4102 · Misc. Income",,,0.00,,"",,0.00,,,"","",,
,"Active","Service","0400","Delivery Charge","Non","4100 · Other Income:4104 · Delivery Charges",,,0.00,,"",,10.00,,,12.00,0,,
,"Active","Service","0401","FUEL SURCHARGE ALLIED","Tax","66500 · Postage, Delivery and Freight",,,0.00,,"",,9.97,,,0.00,"",,
,"Active","Service","0500","Misc. Services","Non","4100 · Other Income:4102 · Misc. Income",,,0.00,,"",,12.00,,,0.00,0,,
,"Active","Service","0900","NSF Return Check Charge","Non","4100 · Other Income:4102 · Misc. Income",,,0.00,,"",,0.00,,,25.00,0,,
,"Active","Service","GAR- 00033","Versace Mansion","Tax","6190 · Insurance",,,0.00,,"",,0.00,,,132.00,"",,
,"Active","Service","GAR- 00034","Breakwater Hotel","Tax","4100 · Other Income",,,0.00,,"",,0.00,,,0.00,"",,
,"Active","Service","GAR- 00038","MDAD BLDG 3099 Johnson Controls","Tax","4100 · Other Income",,,0.00,,"",,0.00,,,0.00,"",,
,"Active","Service","GAR- 00039","Jones Lang Lassalle","Tax","4100 · Other Income",,,0.00,,"",,0.00,,,0.00,"",,
,"Active","Service","GAR- 00040","Holiday Inn Port of Miami","Tax","4100 · Other Income",,,0.00,,"",,0.00,,,0.00,"",,
,"Active","Service","GAR- 0030","The Atrium","Tax","4100 · Other Income",,,0.00,,"",,0.00,,,0.00,"",,
,"Active","Service","GAR-0000","Miami Dade County  Water and Sewer","Tax","4100 · Other Income",,,0.00,,"",,0.00,,,135.00,0,,
,"Active","Service","GAR-0001","Pompano Beach","Non","4100 · Other Income",,,0.00,,"",,0.00,,,185.00,0,,
,"Active","Service","GAR-00011","Broward Sheriff office (delivery/transfer chem)","Tax","4100 · Other Income",,,0.00,,"",,0.00,,,160.00,0,,
,"Active","Service","GAR-00012","WOLFSON","Tax","4100 · Other Income",,,0.00,,"",,0.00,,,135.00,0,,
,"Active","Service","GAR-00013","The Hemispheres","Tax","4100 · Other Income",,,0.00,,"",,0.00,,,135.00,0,,
